2012-13 Progress Report Results for High Schools																			
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	Average English Proficiency	Average Math Proficiency	% Students with Disabilities	% Self-Contained	% Overage	% Black or Hispanic	% ELL
02M399	THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY	High School	41.8	D	7	D	C	D	B	6.1	Santiago Mayol	335	2.67	3.01	19.7%	9.0%	6.3%	54.3%	21.8%
02M400	High School for Environmental Studies	High School	65.7	B	58	B	B	B	A	3.3	Shirley H. Matthews	1339	2.88	3.22	16.4%	5.8%	4.3%	74.6%	9.0%
02M407	Institute for Collaborative Education	High School	79.6	A	87	A	A	A	B	5.5	Peter Karp	280	3.07	2.99	13.2%	0.4%	5.0%	35.7%	1.4%
02M408	Professional Performing Arts High School	High School	66.8	B	63	B	A	C	B	2.5	Keith Ryan	438	3.26	3.42	6.6%	0.0%	0.7%	52.7%	0.5%
02M411	Baruch College Campus High School	High School	84.6	A	93	A	A	B	A	0.1	Alicia Perez-Katz	441	3.24	3.73	5.0%	0.0%	0.5%	19.7%	0.2%
02M412	N.Y.C. Lab School for Collaborative Studies	High School	79.7	A	88	A	A	B	A	3.4	Brooke Jackson	578	3.28	3.69	18.0%	4.0%	0.3%	26.3%	1.0%
02M413	School of the Future High School	High School	66.1	B	60	B	B	B	B	2.1	Stacy Paige Goldstein	410	3.14	3.38	18.0%	0.2%	0.7%	43.4%	0.5%
02M414	N.Y.C. Museum School	High School	79.7	A	88	A	A	D	A	4.3	Darlene Miller	480	3.18	3.58	12.3%	0.0%	0.8%	51.9%	0.4%
02M416	Eleanor Roosevelt High School	High School	84.1	A	92	A	A	A	A	0.1	Dimitri Saliani	516	3.49	3.92	3.1%	0.2%	0.0%	16.9%	0.0%
02M418	Millennium High School	High School	85.9	A	95	A	A	A	A	1.0	Colin Mcevoy	658	3.35	3.70	9.7%	0.2%	0.5%	27.5%	0.2%
02M419	Landmark High School	High School	58.6	B	35	B	F	C	B	8.1	Caron Pinkus	396	2.52	2.66	24.0%	6.6%	11.4%	92.7%	19.2%
02M420	High School for Health Professions and Human Services	High School	66.4	B	61	B	B	B	A	3.6	Robert Gentile	1726	2.90	3.21	13.9%	3.1%	4.6%	73.2%	4.5%
02M422	Quest to Learn	High School									Elisa Aragon	92	2.84	2.99	37.0%	2.2%	3.3%	54.3%	1.1%
02M425	Leadership and Public Service High School	High School	58.0	B	32	C	B	C	B	3.5	Philip Santos	640	2.68	2.80	20.8%	11.3%	10.8%	87.2%	5.0%
02M427	MANHATTAN ACADEMY FOR ARTS & LANGUAGE	High School									Siv Boletsis	266	2.11	2.60	6.0%	3.4%	27.4%	92.9%	88.7%
02M429	Legacy School for Integrated Studies	High School									Arleen Liquori	177	2.47	2.47	34.5%	20.3%	20.3%	96.0%	9.0%
02M437	HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES	High School									Nancy Amling	348	2.66	2.90	21.0%	6.9%	5.7%	87.1%	11.5%
02M438	INTERNATIONAL HIGH SCHOOL AT UNION SQUARE	High School									Gaylea Prichard-Silvers	254	2.01	2.84	3.9%	0.8%	31.5%	53.1%	92.9%
02M439	Manhattan Village Academy	High School	95.8	A	99	A	A	B	A	2.4	Hector Geager	413	2.99	3.33	10.7%	1.0%	0.2%	89.6%	3.4%
02M449	Vanguard High School	High School	62.9	B	50	C	C	B	B	9.1	William Klann	438	2.68	2.79	24.2%	5.9%	8.2%	83.3%	6.4%
02M459	Manhattan International High School	High School	76.5	A	83	A	C	A	B	8.4	Gladys Rodriguez	317	2.12	2.91	1.9%	0.3%	18.0%	50.5%	79.8%
02M460	Washington Irving High School	High School									Sarah Hernandez	631	2.54	2.65	21.9%	12.8%	17.9%	91.4%	20.0%
02M475	Stuyvesant High School	High School	83.2	A	92	A	A	C	A	0.0	Jie Zhang	3286	3.79	4.25	1.4%	0.0%	0.1%	3.7%	0.1%
02M489	High School of Economics and Finance	High School	68.0	B	65	B	B	B	A	3.6	Michael Stanzione	757	2.80	3.21	16.2%	4.8%	6.6%	67.9%	8.9%
02M500	Unity Center for Urban Technologies	High School	70.7	A	69	B	B	C	C	7.7	Fausto De La Rosa	261	2.55	2.66	31.4%	11.9%	21.1%	87.4%	13.4%
02M507	Urban Assembly Gateway School for Technology	High School									April Mckoy	248	2.77	3.13	19.0%	6.0%	2.8%	84.7%	5.2%
02M519	Talent Unlimited High School	High School	74.8	A	78	A	A	B	A	0.5	Linda Hamil	517	3.14	3.33	6.0%	0.6%	1.2%	72.9%	0.2%
02M520	Murry Bergtraum High School for Business Careers	High School	26.6	F	1	F	C	F	C	3.0	Lottie Almonte	1792	2.68	2.82	17.3%	8.6%	10.4%	87.3%	11.1%
02M529	Jacqueline Kennedy Onassis High School	High School	52.4	C	21	C	C	C	C	3.4	Edward Demeo	720	2.66	2.76	17.9%	5.8%	9.0%	92.2%	8.9%
02M531	Repertory Company High School for Theatre Arts	High School	77.7	A	84	A	A	B	B	3.7	Manuel Urena	223	3.03	3.15	6.3%	1.3%	0.9%	87.9%	0.4%
02M533	Union Square Academy for Health Sciences	High School									Bernardo Ascona	124	2.77	3.11	20.2%	9.7%	8.9%	79.0%	11.3%
02M534	Harvest Collegiate High School	High School									Catherine Burch	125	2.97	3.20	16.0%	5.6%	3.2%	84.0%	4.8%
02M542	Manhattan Bridges High School	High School	93.4	A	98	A	A	A	A	11.0	Mirza Sanchez Medina	561	2.29	2.85	4.3%	1.6%	9.8%	100.0%	67.9%
02M543	New Design High School	High School	58.6	B	35	C	B	C	C	7.0	Scott Conti	431	2.69	2.75	23.9%	6.0%	7.0%	91.9%	5.3%
02M545	High School for Dual Language and Asian Studies	High School	93.4	A	98	A	A	B	A	6.6	Li Yan	388	2.76	3.80	4.6%	0.3%	4.9%	6.2%	34.8%
02M546	Academy for Software Engineering	High School									Seung Yu	128	2.86	3.21	19.5%	5.5%	2.3%	74.2%	5.5%
02M551	Urban Assembly New York Harbor School	High School	64.9	B	56	B	C	B	B	8.6	Edward Biedermann	439	2.77	2.93	21.2%	6.4%	6.2%	84.1%	3.0%
02M580	Richard R. Green High School of Teaching	High School	51.7	C	19	C	C	C	C	4.1	Nigel Pugh	592	2.65	2.80	25.8%	7.8%	9.3%	94.1%	6.1%
02M600	The High School of Fashion Industries	High School	79.2	A	86	A	A	A	A	3.6	Daryl Blank	1669	2.93	3.10	12.3%	3.9%	3.1%	92.3%	2.8%
02M615	Chelsea Career and Technical Education High School	High School	66.7	B	62	B	C	B	C	4.8	Brian Rosenbloom	428	2.72	2.93	23.4%	6.1%	7.5%	90.0%	4.2%
02M620	Norman Thomas High School	High School									Philip Martin Jr	703	2.46	2.43	21.3%	11.9%	15.1%	96.9%	21.1%
02M625	High School of Graphic Communication Arts	High School									Brendan Lyons	1236	2.64	2.67	19.8%	8.3%	13.0%	93.7%	7.9%
02M630	Art and Design High School	High School	59.0	B	37	C	B	D	B	3.9	Eric Strauss	1386	2.97	3.20	15.5%	4.0%	3.4%	76.9%	1.7%
02M655	Life Sciences Secondary School	High School	58.3	B	33	B	C	C	C	3.4	Genevieve Stanislaus	618	2.68	2.91	19.4%	6.8%	7.0%	91.3%	7.0%
03M283	Manhattan Theatre Lab High School	High School									Lisa Ostrom	241	2.63	2.67	23.2%	12.4%	6.2%	96.3%	9.1%
03M299	"High School for Arts, Imagination and Inquiry"	High School	63.3	B	51	B	C	C	C	5.7	Stephen Noonan	434	2.57	2.67	24.0%	8.5%	15.0%	96.5%	11.1%
03M307	"Urban Assembly School for Media Studies, The"	High School	59.1	B	37	C	B	B	C	4.9	Cordelia Veve	369	2.64	2.67	24.4%	13.6%	9.5%	94.0%	12.2%
03M402	THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS	High School	29.8	F	1	D	F	F	F	3.8	Alexandra Rathmann-Noonan	390	2.51	2.64	23.8%	11.5%	15.1%	95.6%	23.6%
03M403	THE GLOBAL LEARNING COLLABORATIVE	High School	50.8	C	16	C	F	A	C	5.2	Karla L. Chiluiza	434	2.63	2.77	23.5%	8.8%	8.5%	90.3%	14.7%
03M415	Wadleigh Secondary School for the Performing & Visual Arts	High School	32.9	F	3	F	D	C	C	4.9	Tyee Chin	459	2.61	2.71	23.5%	12.6%	12.2%	96.5%	7.2%
03M417	FRANK McCOURT HIGH SCHOOL	High School									Danielle Salzberg	294	2.99	3.23	20.4%	1.4%	0.7%	55.8%	1.0%
03M479	Beacon High School	High School	72.4	A	73	A	B	B	A	0.5	Ruth Lacey	1263	3.44	3.78	6.2%	0.3%	0.2%	38.4%	0.0%
03M485	Fiorello H. LaGuardia High School of Music & Art and Performing Arts	High School	80.9	A	89	A	A	C	A	0.3	Kim Bruno	2688	3.48	3.85	2.6%	0.0%	0.3%	30.9%	0.1%
03M492	"High School for Law, Advocacy and Community Justice"	High School	66.8	B	62	B	B	B	B	5.0	Doreen Conwell	547	2.68	2.83	17.7%	8.8%	10.6%	94.7%	11.5%
03M494	High School of Arts and Technology	High School	52.5	C	22	C	C	C	C	3.3	Anne Geiger	603	2.65	2.87	22.7%	8.8%	10.6%	92.7%	10.9%
03M541	Manhattan / Hunter Science High School	High School	72.6	A	74	A	B	A	A	2.0	Susan Kreisman	456	3.19	3.67	7.0%	0.7%	1.8%	63.6%	0.9%
03M860	Frederick Douglass Academy II Secondary School	High School	59.3	B	38	C	C	C	A	6.9	Osei Owusu-Afriyie	287	2.52	2.52	24.0%	11.1%	11.1%	97.6%	7.7%
04M372	ESPERANZA PREPARATORY ACADEMY	High School									Alexandra Estrella	77	2.67	2.95	27.3%	14.3%	11.7%	92.2%	29.9%
04M409	Coalition School for Social Change	High School	38.6	F	5	D	F	C	C	4.0	"Sullivan, John"	348	2.47	2.50	28.4%	14.1%	15.8%	95.7%	9.8%
04M435	Manhattan Center for Science and Mathematics	High School	67.9	B	65	A	B	C	B	2.1	Jose David Jimenez	1617	3.13	3.68	8.0%	1.9%	1.1%	77.2%	3.5%
04M495	Park East High School	High School	69.0	B	66	A	C	B	C	4.9	Kevin Mccarthy	388	2.73	2.92	14.7%	1.5%	2.3%	94.1%	3.1%
04M555	Central Park East High School	High School	82.4	A	91	A	A	A	B	4.3	Bennett Lieberman	465	2.89	3.19	15.7%	1.3%	2.6%	91.8%	4.1%
04M610	Young Women's Leadership School	High School	84.1	A	92	A	A	A	A	1.7	Althea Bradshaw-Tyson	289	3.05	3.35	11.8%	0.3%	1.0%	89.3%	1.4%
04M635	Academy of Environmental Science Secondary High School	High School									Irma Garceau	102	2.36	2.41	29.4%	17.6%	12.7%	90.2%	10.8%
04M680	"Heritage School, The"	High School	52.4	C	21	C	C	C	D	6.6	Dyanand Sugrim	325	2.56	2.67	27.7%	9.8%	9.2%	97.5%	8.9%
05M304	Mott Hall High School	High School	52.4	C	22	C	C	B	C	3.3	Altagracia Villalona	425	2.65	2.87	18.6%	5.4%	7.3%	97.6%	9.4%
05M362	Columbia Secondary School	High School									Miriam Nightengale	269	3.27	3.68	3.3%	0.0%	0.4%	72.9%	0.7%
05M367	Academy for Social Action: A College Board School	High School	30.0	F	2	F	B	F	B	2.8	Rhokeisha Ford	303	2.48	2.58	23.8%	5.9%	14.5%	97.4%	16.2%
05M369	Urban Assembly School for the Performing Arts	High School	52.2	C	21	C	C	C	C	3.3	Fia Davis	353	2.65	2.76	19.5%	5.7%	9.6%	98.6%	6.5%
05M469	Choir Academy of Harlem	High School									Dr. Melissa Vaughan	186	2.52	2.55	19.9%	10.2%	15.6%	98.9%	2.7%
05M499	Frederick Douglass Academy	High School	53.0	C	23	C	B	C	A	1.7	Joseph Gates	1134	2.86	3.18	9.2%	3.7%	4.6%	96.0%	2.5%
05M670	Thurgood Marshall Academy for Learning and Social Change	High School	58.7	B	36	C	B	B	B	3.7	Sean Davenport	393	2.76	3.00	14.5%	0.5%	3.8%	98.2%	1.0%
05M685	Bread & Roses Integrated Arts High School	High School									Rodney Lofton	454	2.41	2.49	26.9%	14.1%	19.6%	98.9%	18.3%
05M692	"High School for Mathematics, Science and Engineering at City College"	High School	83.7	A	92	A	A	B	A	0.0	Crystal Bonds	439	3.52	4.05	4.8%	0.2%	0.7%	36.0%	0.0%
06M293	City College Academy of the Arts	High School	77.0	A	83	B	A	A	A	3.6	Bernadette Drysdale	342	2.99	3.44	12.9%	0.0%	3.5%	98.0%	1.8%
06M346	Community Health Academy of the Heights	High School	50.4	C	15	D	C	A	B	6.8	Mark House	344	2.48	2.61	21.8%	6.7%	9.9%	98.0%	28.8%
06M348	Washington Heights Expeditionary Learning School	High School	61.2	B	46	B	D	A	C	5.1	Brett Kimmel	374	2.70	3.06	21.4%	1.9%	6.4%	99.5%	14.4%
06M462	The College Academy	High School	65.7	B	58	B	B	A	B	5.7	Peter Sloman	571	2.44	2.68	18.7%	9.8%	11.7%	97.7%	45.5%
06M463	High School for Media and Communications	High School	50.4	C	15	C	C	C	C	5.1	Ronni Michelen	550	2.48	2.66	23.3%	8.5%	12.0%	97.3%	29.3%
06M467	High School for Law and Public Service	High School	67.8	B	64	B	B	A	B	7.0	Nicholas Politis	688	2.53	2.69	19.6%	9.7%	12.4%	97.5%	30.4%
06M468	High School for Health Careers and Sciences	High School	44.1	D	8	D	C	B	C	5.3	Javier Trejo	657	2.49	2.68	18.1%	6.2%	12.2%	96.5%	28.3%
06M540	A. Philip Randolph Campus High School	High School	52.2	C	21	C	C	B	B	1.3	David Fanning	1339	2.91	3.20	8.4%	4.9%	3.8%	93.2%	3.4%
06M552	Gregorio Luperon High School for Science and Mathematics	High School	71.0	A	71	B	B	A	A	7.7	Juan Villar	497	1.99	2.56	0.8%	0.0%	21.3%	100.0%	86.9%
07X221	South Bronx Preparatory: A College Board School	High School	83.0	A	91	A	A	B	B	7.0	Ellen Reddon Flanagan	344	2.66	2.81	22.4%	4.4%	5.5%	98.3%	4.7%
07X334	International Community High School	High School	41.8	D	7	D	D	C	D	5.2	Berena Cabarcas	385	1.91	2.28	2.6%	0.5%	41.0%	91.9%	94.0%
07X427	Community School for Social Justice	High School	69.9	B	67	B	B	B	B	8.9	Sue-Ann Rosch	320	2.50	2.60	24.1%	10.6%	10.6%	98.4%	12.8%
07X473	Mott Haven Village Preparatory High School	High School	46.7	D	11	C	F	C	C	3.7	Melanie Williams	355	2.57	2.73	22.5%	7.9%	8.2%	98.6%	9.9%
07X495	University Heights Secondary School	High School	67.3	B	63	B	B	B	B	5.9	Hazel Joseph Roseboro	472	2.93	3.23	8.3%	2.1%	3.2%	96.2%	3.8%
07X500	Hostos-Lincoln Academy of Science	High School	62.2	B	49	B	B	C	A	3.2	Nicholas Paarlberg	326	2.80	3.20	12.9%	4.6%	4.3%	95.1%	3.7%
07X520	Foreign Language Academy of Global Studies	High School	49.9	C	14	C	C	C	B	3.6	Leba Collins Augone	235	2.44	2.56	29.8%	21.7%	13.2%	94.9%	19.6%
07X522	Bronx Design and Construction Academy	High School									Matthew Williams	297	2.54	2.76	29.3%	14.5%	13.8%	96.6%	13.8%
07X527	Bronx Leadership Academy II High School	High School	66.8	B	62	B	C	B	C	6.5	Katherine Callaghan	506	2.50	2.71	25.1%	11.7%	11.1%	96.0%	15.2%
07X547	New Explorers High School	High School	58.4	B	34	B	C	B	F	5.2	Jacob Hobson	440	2.48	2.61	27.3%	15.5%	15.5%	98.9%	13.6%
07X548	Urban Assembly School for Careers in Sports	High School	55.7	C	27	C	C	C	C	4.1	Johanny Garcia	525	2.70	2.94	23.6%	7.4%	4.4%	97.7%	5.3%
07X551	The Urban Assembly Bronx Academy of Letters	High School	70.5	A	69	B	A	C	A	6.2	Jeffrey Garrett	328	2.59	2.68	22.0%	13.7%	4.9%	97.9%	10.4%
07X600	Alfred E. Smith Career and Technical Education High School	High School	52.7	C	23	C	C	C	C	6.6	Evan Schwartz	518	2.46	2.56	27.4%	13.7%	10.0%	98.3%	12.4%
07X655	Samuel Gompers Career and Technical Education High School	High School									Joyce Mills Kittrell	410	2.42	2.51	33.4%	23.7%	14.4%	97.1%	15.1%
07X670	Health Opportunities High School	High School	51.3	C	19	D	B	B	A	5.4	Julie Mchedlishvili	559	2.51	2.72	23.4%	12.7%	10.0%	95.0%	13.1%
08X269	Bronx Studio School for Writers and Artists	High School	59.6	B	38	B	B	C	D	4.2	David Vazquez	303	2.66	2.76	22.4%	8.3%	12.5%	96.0%	8.9%
08X282	Women's Academy of Excellence	High School	43.1	D	7	C	B	F	B	2.6	Arnette Crocker	416	2.61	2.72	19.7%	7.7%	10.8%	91.3%	3.8%
08X293	Renaissance High School for Musical Theater & Technology	High School	70.6	A	69	B	B	A	C	6.8	Maria N Herrera	463	2.63	2.68	24.8%	6.7%	9.5%	87.3%	4.5%
08X295	Gateway School for Environmental Research and Technology	High School									Clifford Siegel	324	2.43	2.46	28.4%	14.8%	15.7%	92.6%	12.7%
08X305	Pablo Neruda Academy for Architecture and World Studies	High School	60.8	B	44	B	C	B	C	6.1	Sabrina Cook	343	2.43	2.54	30.6%	17.8%	16.6%	95.0%	17.2%
08X312	Millennium Art Academy	High School	65.7	B	58	B	C	B	D	6.0	Herman Guy	494	2.61	2.71	24.9%	11.9%	9.1%	96.6%	4.9%
08X332	Holcombe L. Rucker School of Community Research	High School	41.2	D	6	D	C	C	D	3.7	Sharif Rucker	324	2.45	2.51	24.1%	12.0%	21.0%	95.1%	11.4%
08X367	"Archimedes Academy for Math, Science and Technology Applications"	High School									Miriam Lazar	292	2.59	2.78	22.6%	12.3%	9.9%	92.5%	3.4%
08X376	Antonia Pantoja Preparatory Academy: A College Board School	High School									Nancy Jacqueline Diaz	199	2.58	2.73	28.6%	18.1%	12.1%	95.0%	11.6%
08X405	Herbert H. Lehman High School.	High School	34.8	F	4	D	D	D	B	3.9	R Lobianco	2944	2.59	2.72	25.3%	13.9%	9.1%	82.9%	9.5%
08X432	BRONX BRIDGES HIGH SCHOOL	High School									Pablo Villavicencio	236	2.12	2.50	8.1%	5.1%	21.2%	89.8%	83.9%
08X452	Bronx Guild	High School	58.4	B	34	C	C	C	B	5.8	Sam Decker	304	2.50	2.50	31.9%	12.8%	15.5%	95.1%	9.5%
08X519	"Felisa Rincon de Gautier Institute for Law and Public Policy, The"	High School	46.4	D	11	C	C	A	D	4.2	Ms. Grismaldy Laboy-Wilson	349	2.51	2.58	26.4%	14.6%	11.7%	97.1%	12.9%
08X530	Banana Kelly High School	High School	41.5	D	6	C	D	D	D	3.5	Charlette Pope	423	2.41	2.45	29.1%	14.9%	17.0%	97.9%	17.5%
08X540	School for Community Research and Learning	High School									Jacqueline Boswell	102	2.40	2.32	31.4%	21.6%	16.7%	95.1%	12.7%
08X558	Westchester Square Academy	High School									Sara Dingledy	108	2.68	2.80	27.8%	13.9%	10.2%	83.3%	10.2%
08X559	School for Tourism and Hospitality	High School									Brian Condon	88	2.55	2.79	19.3%	6.8%	13.6%	96.6%	15.9%
08X561	Bronx Compass High School	High School									Stacy Mccoy	86	2.63	2.76	32.6%	20.9%	10.5%	91.9%	5.8%
08X650	Jane Addams High School for Academic Careers	High School									"Dibartolomeo, Joel"	488	2.44	2.59	24.4%	11.7%	11.5%	97.7%	9.0%
09X227	Bronx Collegiate Academy	High School	63.1	B	51	B	C	A	B	6.3	Darryl White	323	2.43	2.58	26.9%	14.6%	17.6%	98.5%	33.1%
09X231	Eagle Academy for Young Men	High School	65.8	B	59	C	B	B	B	7.8	Jonathan Foy	413	2.55	2.76	31.7%	9.7%	7.7%	97.3%	3.1%
09X239	"Urban Assembly Academy for History and Citizenship for Young Men, The"	High School									Avis Terrell	70	2.37	2.36	32.9%	18.6%	21.4%	97.1%	18.6%
09X241	"Urban Assembly School for Applied Math and Science, The"	High School	71.4	A	72	B	A	B	A	6.8	David Krulwich	339	2.68	3.12	21.8%	5.9%	3.5%	95.3%	6.5%
09X250	Eximius College Preparatory Academy: A College Board School	High School	66.4	B	61	B	B	A	B	3.6	Jonathan Daly	393	2.66	2.84	22.1%	9.9%	8.1%	97.7%	8.7%
09X252	Mott Hall Bronx High School	High School	67.9	B	65	B	A	B	B	5.5	Kathryn Malloy	367	2.62	2.90	21.3%	12.5%	6.3%	97.0%	10.1%
09X260	Bronx Center for Science and Mathematics	High School	86.2	A	95	A	A	A	A	3.7	Edward Tom	448	2.98	3.33	19.2%	5.6%	3.3%	92.9%	2.9%
09X263	Validus Preparatory Academy: An Expeditionary Learning School	High School	44.0	D	8	C	C	C	C	3.1	Javier Fortiche Ocampo	381	2.55	2.78	20.2%	9.2%	8.4%	97.6%	12.3%
09X276	Leadership Institute	High School	48.8	C	13	C	C	B	C	3.2	Marta Colon	237	2.37	2.41	25.3%	20.3%	22.8%	97.0%	23.2%
09X297	Morris Academy for Collaborative Studies	High School	61.7	B	47	C	B	B	C	8.8	Matthew Mazzaroppi	437	2.45	2.60	25.9%	13.3%	13.7%	98.2%	18.3%
09X324	Bronx Early College Academy for Teaching & Learning	High School	74.4	A	78	A	A	C	A	4.2	Yvette Rivera	290	2.77	2.98	16.2%	0.0%	6.2%	95.2%	6.6%
09X327	Comprehensive Model School Project M.S. 327	High School									Manuel Ramirez	119	2.89	3.46	21.0%	6.7%	4.2%	98.3%	5.0%
09X329	DreamYard Preparatory School	High School	53.6	C	24	C	D	B	C	4.6	Alicia Wargo	313	2.48	2.60	22.7%	14.1%	18.8%	94.2%	24.6%
09X365	Academy for Language and Technology	High School	77.5	A	84	A	B	B	C	8.3	Arisleyda Urena	315	2.03	2.65	1.6%	0.6%	8.3%	100.0%	88.3%
09X403	Bronx International High School	High School	56.9	C	30	B	C	B	D	6.5	Joaquin Vega	402	2.04	2.30	2.5%	0.2%	24.1%	96.8%	91.5%
09X404	School for Excellence	High School	63.4	B	52	B	B	C	C	6.4	Carmen Bardeguez Brown	382	2.42	2.56	29.3%	16.5%	22.3%	98.4%	24.1%
09X412	Bronx High School of Business	High School	47.4	C	11	C	C	C	C	5.2	Vincent Rodriguez	362	2.41	2.57	26.8%	16.0%	18.8%	97.8%	28.5%
09X413	Bronx High School for Medical Science	High School	63.6	B	52	B	B	C	B	3.9	William Quintana	289	2.83	3.19	6.2%	2.1%	2.8%	94.5%	2.8%
09X414	Jonathan Levin High School for Media and Communications	High School									Nasib Hoxha	351	2.40	2.49	24.8%	16.5%	22.5%	97.4%	37.0%
09X505	"Bronx School for Law, Government and Justice"	High School	60.5	B	42	B	B	C	B	5.2	Meisha Ross-Porter	469	2.82	2.99	19.2%	6.4%	5.1%	97.0%	6.2%
09X517	Frederick Douglass Academy III Secondary School	High School	64.0	B	54	B	B	C	A	6.5	Rahesha Amon	391	2.50	2.66	18.4%	10.2%	13.8%	97.4%	7.4%
09X525	Bronx Leadership Academy High School	High School	54.7	C	25	C	B	B	B	4.4	"Kenneth Gaskins,jr."	693	2.55	2.73	25.4%	13.1%	9.7%	97.5%	10.0%
09X543	High School for Violin and Dance	High School	50.0	C	15	C	C	D	C	4.8	Franklin Sim	354	2.51	2.68	25.1%	10.2%	13.0%	98.6%	10.5%
09X564	Claremont International HS	High School									Elizabeth Demchak	77	2.14	2.43	6.5%	2.6%	26.0%	90.9%	96.1%
10X141	Riverdale / Kingsbridge Academy (Middle School / High School 141)	High School	64.3	B	55	B	B	C	B	3.9	Lori O'mara	638	2.82	3.06	19.6%	6.3%	2.5%	68.3%	4.4%
10X213	Bronx Engineering and Technology Academy	High School	63.3	B	51	C	B	C	B	7.4	Karalyne Sperling	414	2.51	2.81	26.1%	10.6%	11.6%	93.2%	15.0%
10X225	Theatre Arts Production Company School	High School	56.0	C	28	C	A	B	B	4.6	Ron Link	333	2.78	2.86	19.2%	1.5%	5.1%	96.1%	3.6%
10X237	"The Marie Curie School for Medicine, Nursing, and Health Professions"	High School	50.5	C	16	C	C	D	C	4.0	Rodney Fisher	567	2.69	2.90	19.6%	8.5%	8.1%	92.6%	6.5%
