2011-12 Progress Report Results for High Schools																				
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	% Students with Disabilites	% Students in Self-contained Settings	% Overage	% Free Lunch	% Black or Hispanic	% ELL	8th Gr Math/ELA	Peer Index
02M305	"Urban Assembly Academy of Government and Law, The"	High School	70.4	A	67	B	B	C	B	5.0	David Glasner	312	21.2%	5.8%	6.4%	74.0%	92.3%	6.1%	2.68	2.08
02M308	Lower Manhattan Arts Academy	High School	72.6	A	74	B	B	A	C	5.5	John Wenk	336	29.8%	4.5%	6.5%	47.6%	86.6%	4.8%	2.71	1.96
02M316	"Urban Assembly School of Business for Young Women, the"	High School	62.1	B	41	B	C	C	B	3.7	Patricia Minaya	378	19.8%	3.7%	4.2%	74.9%	95.2%	2.6%	2.68	2.17
02M374	Gramercy Arts High School	High School	53.7	C	20	C	B	D	D	2.4	Denise Dicarlo	495	14.9%	3.4%	5.7%	62.2%	90.3%	3.0%	2.83	2.41
02M376	NYC iSchool	High School	66.0	B	53	B	A	B	D	1.0	Alisa Berger	433	13.9%	1.2%	1.4%	34.4%	64.0%	0.5%	3.27	2.96
02M392	MANHATTAN BUSINESS ACADEMY	High School	.	.	.	.	.	.	.	.	Karen Polsonetti	332	17.8%	4.8%	7.8%	70.8%	88.3%	10.2%	2.76	2.23
02M393	BUSINESS OF SPORTS SCHOOL	High School	.	.	.	.	.	.	.	.	Joshua Solomon	304	24.3%	4.9%	9.2%	68.4%	94.1%	7.6%	2.67	2.00
02M399	THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY	High School	.	.	.	.	.	.	.	.	Santiago Mayol	244	20.1%	11.1%	10.2%	79.9%	50.0%	29.1%	2.84	2.11
02M400	High School for Environmental Studies	High School	66.5	B	56	C	A	B	A	3.0	Shirley H. Matthews	1394	16.1%	5.5%	4.0%	61.7%	72.0%	7.7%	3.02	2.55
02M407	Institute for Collaborative Education	High School	73.5	A	75	A	C	A	D	2.9	John Pettinato	271	14.8%	0.4%	6.3%	12.1%	39.9%	0.4%	2.94	2.58
02M408	Professional Performing Arts High School	High School	65.6	B	51	B	A	C	B	1.1	Keith Ryan	415	7.0%	0.2%	1.0%	23.5%	52.8%	2.4%	3.31	3.16
02M411	Baruch College Campus High School	High School	80.8	A	91	A	A	A	A	0.0	Alicia Perez-Katz	432	3.9%	0.0%	0.7%	56.7%	20.4%	1.6%	3.44	3.36
02M412	N.Y.C. Lab School for Collaborative Studies	High School	74.1	A	76	B	A	A	A	2.0	Brooke Jackson	579	18.3%	4.5%	0.5%	29.0%	23.5%	1.6%	3.45	2.99
02M413	School of the Future High School	High School	71.0	A	69	A	B	B	B	2.4	Stacy Paige Goldstein	380	18.4%	0.0%	1.3%	25.6%	43.4%	1.6%	3.18	2.80
02M414	N.Y.C. Museum School	High School	76.3	A	82	A	A	F	B	1.5	Darlene Miller	436	12.2%	0.0%	0.7%	56.9%	51.6%	0.5%	3.30	3.05
02M416	Eleanor Roosevelt High School	High School	85.4	A	95	A	A	A	A	0.2	Dimitri Saliani	507	3.0%	0.2%	0.4%	20.3%	18.5%	0.2%	3.67	3.60
02M418	Millennium High School	High School	80.8	A	91	A	A	A	A	0.8	Robert Rhodes	626	11.0%	0.3%	0.3%	31.9%	31.0%	0.2%	3.50	3.27
02M419	Landmark High School	High School	47.1	C	9	F	C	F	B	5.8	Trevor Naidoo	421	20.2%	5.7%	9.0%	78.9%	92.9%	17.6%	2.54	1.93
02M420	High School for Health Professions and Human Services	High School	67.5	B	59	B	B	B	A	2.0	Robert Gentile	1767	11.7%	3.2%	4.5%	41.7%	74.0%	4.3%	3.02	2.68
02M425	Leadership and Public Service High School	High School	55.6	C	24	C	C	C	B	4.2	Philip Santos	606	20.5%	9.4%	9.4%	78.7%	84.7%	5.6%	2.68	1.99
02M427	MANHATTAN ACADEMY FOR ARTS & LANGUAGE	High School	.	.	.	.	.	.	.	.	Siv Boletsis	175	7.4%	3.4%	27.4%	85.7%	92.6%	88.0%	2.42	1.93
02M429	Legacy School for Integrated Studies	High School	.	.	.	.	.	.	.	.	Joan Mosely	294	28.2%	15.6%	17.7%	84.4%	96.6%	8.5%	2.41	1.36
02M437	HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES	High School	.	.	.	.	.	.	.	.	Nancy Amling	226	20.4%	6.6%	3.5%	66.8%	85.8%	8.8%	2.80	2.22
02M438	INTERNATIONAL HIGH SCHOOL AT UNION SQUARE	High School	.	.	.	.	.	.	.	.	Gaylea Prichard-Silvers	176	0.6%	0.0%	28.4%	82.4%	55.7%	96.6%	2.48	2.18
02M439	Manhattan Village Academy	High School	96.6	A	100	A	A	A	A	5.0	Hector Geager	429	10.3%	1.2%	1.4%	60.1%	88.8%	3.7%	3.11	2.87
02M440	Bayard Rustin Educational Complex	High School	.	.	.	.	.	.	.	.	Lisa Ostrom	208	14.4%	6.7%	11.5%	71.2%	90.4%	26.4%	2.37	1.83
02M449	Vanguard High School	High School	79.5	A	88	A	A	A	A	7.3	William Klann	444	23.4%	3.8%	6.3%	70.5%	84.9%	6.1%	2.70	2.09
02M459	Manhattan International High School	High School	71.2	A	70	B	C	A	C	6.9	Alan Krull	325	1.2%	0.9%	14.8%	31.1%	52.0%	79.1%	2.63	2.44
02M460	Washington Irving High School	High School	.	.	.	.	.	.	.	.	Bernardo Ascona	1032	19.8%	11.4%	17.2%	71.3%	92.5%	20.2%	2.54	1.75
02M475	Stuyvesant High School	High School	76.8	A	84	A	A	B	A	0.0	Stanley Teitel	3297	1.5%	0.0%	0.3%	32.3%	3.7%	0.0%	4.04	4.01
02M489	High School of Economics and Finance	High School	66.4	B	55	B	B	B	A	3.0	Michael Stanzione	809	14.1%	3.3%	5.3%	66.7%	65.9%	6.3%	3.00	2.59
02M500	Unity Center for Urban Technologies	High School	75.9	A	81	B	A	B	F	8.7	Fausto De La Rosa	237	38.8%	18.1%	22.4%	80.6%	91.1%	16.0%	2.42	1.06
02M507	Urban Assembly Gateway School for Technology	High School	.	.	.	.	.	.	.	.	April Mckoy	126	23.8%	11.1%	3.2%	59.5%	87.3%	8.7%	2.91	2.18
02M519	Talent Unlimited High School	High School	72.3	A	73	A	A	D	A	1.1	Linda Hamil	491	4.9%	0.2%	1.0%	48.7%	75.6%	0.2%	3.21	3.10
02M520	Murry Bergtraum High School for Business Careers	High School	41.0	D	4	F	D	F	C	3.1	Andrea Lewis	2072	16.7%	7.8%	8.7%	69.4%	86.9%	10.3%	2.74	2.16
02M529	Jacqueline Kennedy Onassis High School	High School	60.1	B	38	C	B	B	B	2.9	Edward Demeo	724	17.5%	5.5%	6.8%	76.0%	92.5%	9.9%	2.70	2.17
02M531	Repertory Company High School for Theatre Arts	High School	80.3	A	90	A	A	B	B	4.4	Michael Mehmet Jr.	217	8.8%	0.9%	3.2%	65.4%	90.3%	0.5%	3.01	2.79
02M542	Manhattan Bridges High School	High School	89.7	A	97	A	A	A	A	11.1	Mirza Sanchez Medina	541	2.4%	1.1%	7.9%	56.4%	99.8%	73.0%	2.48	2.33
02M543	New Design High School	High School	74.9	A	79	A	B	B	C	4.1	Scott Conti	423	21.5%	4.7%	6.9%	52.5%	92.4%	5.7%	2.66	2.07
02M545	High School for Dual Language and Asian Studies	High School	90.2	A	97	A	A	B	A	8.9	Li Yan	353	4.2%	0.0%	7.1%	76.8%	7.6%	38.2%	3.29	3.13
02M551	The Urban Assembly New York Harbor School	High School	70.7	A	68	B	A	B	A	5.4	Nathan Dudley	430	20.9%	7.9%	5.8%	64.4%	87.0%	4.2%	2.78	2.15
02M580	Richard R. Green High School of Teaching	High School	62.2	B	42	C	B	B	B	3.5	David Raubvogel	610	23.9%	7.7%	10.3%	77.2%	94.4%	6.7%	2.69	1.96
02M600	The High School of Fashion Industries	High School	82.6	A	93	A	A	A	A	4.0	Daryl Blank	1599	13.1%	4.5%	2.9%	68.3%	91.7%	2.8%	2.95	2.57
02M615	Chelsea Career and Technical Education High School	High School	63.1	B	44	B	D	B	C	5.4	Brian Rosenbloom	466	20.0%	5.6%	6.9%	69.1%	90.6%	6.2%	2.74	2.17
02M620	Norman Thomas High School	High School	.	.	.	.	.	.	.	.	Philip Martin Jr	1127	18.5%	9.9%	13.9%	78.5%	96.3%	21.5%	2.44	1.73
02M625	High School of Graphic Communication Arts	High School	34.8	F	1	F	F	F	F	3.1	Brendan Lyons	1433	19.4%	8.1%	12.1%	53.2%	94.0%	9.4%	2.61	1.93
02M630	Art and Design High School	High School	66.9	B	56	B	A	D	B	3.7	Eric Strauss	1344	13.7%	3.6%	2.3%	53.7%	77.7%	1.7%	3.03	2.66
02M655	Life Sciences Secondary School	High School	60.1	B	38	C	B	C	C	3.8	Genevieve Stanislaus	592	20.6%	6.6%	5.9%	71.0%	92.2%	8.1%	2.72	2.11
03M283	Manhattan Theatre Lab High School	High School	.	.	.	.	.	.	.	.	Evelyn Collins	409	17.8%	8.1%	7.6%	61.4%	95.6%	9.0%	2.63	2.03
03M299	"High School for Arts, Imagination and Inquiry"	High School	65.3	B	50	B	A	D	C	6.6	Stephen Noonan	417	22.8%	7.2%	12.2%	73.6%	96.9%	15.1%	2.56	1.84
03M307	"Urban Assembly School for Media Studies, The"	High School	63.9	B	46	C	B	B	C	6.9	Cordelia Veve	366	24.0%	7.7%	12.6%	70.2%	93.4%	12.8%	2.57	1.81
03M402	THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS	High School	.	.	.	.	.	.	.	.	Alexandra Rathmann-Noonan	283	23.3%	12.0%	17.7%	85.2%	95.8%	25.1%	2.54	1.66
03M403	THE GLOBAL LEARNING COLLABORATIVE	High School	.	.	.	.	.	.	.	.	Jennifer Zinn	358	22.6%	7.8%	11.2%	76.5%	90.2%	20.4%	2.64	1.92
03M415	Wadleigh Secondary School for the Performing & Visual Arts	High School	48.6	C	12	D	C	D	D	4.4	Herma Hall	426	23.0%	13.6%	12.9%	54.5%	98.6%	7.3%	2.59	1.73
03M417	FRANK McCOURT HIGH SCHOOL	High School	.	.	.	.	.	.	.	.	Danielle Salzberg	219	20.5%	1.4%	0.9%	29.7%	55.3%	0.9%	3.10	2.65
03M470	Louis D. Brandeis High School	High School	.	.	.	.	.	.	.	.	Arleen Liquori	291	13.4%	3.8%	9.6%	62.2%	96.6%	28.5%	2.38	1.94
03M479	Beacon High School	High School	73.5	A	75	A	B	A	B	0.5	Ruth Lacey	1162	5.9%	0.1%	0.5%	18.7%	38.8%	0.2%	3.62	3.49
03M485	Fiorello H. LaGuardia High School of Music & Art and Performing Arts	High School	77.2	A	84	A	A	C	A	0.2	Kim Bruno	2605	2.3%	0.0%	0.2%	21.5%	30.2%	0.2%	3.67	3.62
03M492	"High School for Law, Advocacy and Community Justice"	High School	72.8	A	74	B	A	B	A	6.7	Doreen Conwell	541	17.7%	9.1%	8.9%	78.2%	94.3%	10.5%	2.71	2.08
03M494	High School of Arts and Technology	High School	54.9	C	23	C	C	F	C	3.3	Anne Geiger	603	20.1%	7.1%	10.4%	81.9%	92.0%	10.9%	2.75	2.10
03M541	Manhattan / Hunter Science High School	High School	80.1	A	89	A	B	A	A	2.0	Susan Kreisman	453	5.1%	0.2%	1.5%	51.0%	63.1%	1.3%	3.39	3.27
03M860	Frederick Douglass Academy II Secondary School	High School	75.1	A	80	A	B	B	A	6.1	Osei Owusu-Afriyie	300	24.3%	10.3%	8.3%	71.2%	96.3%	6.3%	2.49	1.71
04M409	Coalition School for Social Change	High School	43.4	D	5	F	C	C	D	3.6	"Sullivan, John"	349	26.9%	12.6%	12.9%	63.0%	98.0%	10.0%	2.48	1.56
04M435	Manhattan Center for Science and Mathematics	High School	60.5	B	39	B	B	F	A	1.5	Jose David Jimenez	1650	6.9%	3.2%	1.5%	71.2%	77.1%	2.9%	3.36	3.15
04M495	Park East High School	High School	67.5	B	59	B	A	B	F	4.6	Kevin Mccarthy	349	14.3%	3.7%	1.4%	75.9%	94.6%	4.3%	2.77	2.39
04M555	Central Park East High School	High School	76.2	A	82	A	C	A	C	7.1	Bennett Lieberman	445	16.6%	3.6%	3.1%	75.5%	91.5%	4.3%	2.99	2.55
04M610	Young Women's Leadership School	High School	80.1	A	89	A	A	A	A	0.9	Althea Bradshaw-Tyson	288	11.5%	0.0%	0.3%	70.4%	93.4%	2.4%	3.11	2.88
04M635	Academy of Environmental Science Secondary High School	High School	.	.	.	.	.	.	.	.	Irma Garceau	192	22.4%	13.0%	10.9%	68.8%	93.2%	13.5%	2.37	1.56
04M680	"Heritage School, The"	High School	57.2	C	28	C	B	C	F	5.3	Dyanand Sugrim	294	27.9%	8.8%	7.5%	70.1%	98.3%	6.8%	2.58	1.77
05M304	Mott Hall High School	High School	52.2	C	17	D	C	B	C	2.9	Altagracia Villalona	426	17.6%	6.1%	6.1%	81.5%	98.8%	8.7%	2.72	2.19
05M362	Columbia Secondary School	High School	.	.	.	.	.	.	.	.	Miriam Nightengale	186	4.8%	0.5%	1.1%	52.1%	74.2%	0.5%	3.50	3.39
05M367	Academy for Social Action: A College Board School	High School	19.6	F	0	F	F	F	F	2.9	Rhokeisha Ford	288	22.2%	5.6%	14.6%	73.4%	100.0%	12.5%	2.58	1.88
05M369	Urban Assembly School for the Performing Arts	High School	49.2	C	14	F	B	F	B	4.8	Fia Davis	374	17.9%	6.4%	11.5%	77.0%	98.4%	6.1%	2.61	2.01
05M469	Choir Academy of Harlem	High School	28.7	F	1	F	F	F	F	2.0	Dr. Melissa Vaughan	155	9.7%	4.5%	9.7%	84.1%	98.7%	1.9%	2.56	2.18
05M499	Frederick Douglass Academy	High School	46.7	C	9	F	B	D	A	1.8	Joseph Gates	1199	9.3%	4.8%	5.0%	68.1%	97.0%	2.8%	3.01	2.67
05M670	Thurgood Marshall Academy for Learning and Social Change	High School	59.8	B	36	C	B	B	C	3.4	Sean Davenport	395	13.7%	0.3%	2.8%	74.0%	99.0%	1.0%	2.81	2.51
05M685	Bread & Roses Integrated Arts High School	High School	30.7	F	1	F	F	F	F	2.5	Rodney Lofton	524	26.1%	14.3%	14.3%	74.0%	98.5%	18.3%	2.41	1.46
05M692	"High School for Mathematics, Science and Engineering at City College"	High School	79.6	A	88	A	A	B	A	0.0	Crystal Bonds	406	3.4%	0.0%	0.5%	38.7%	36.5%	0.0%	3.80	3.73
06M293	City College Academy of the Arts	High School	76.0	A	81	B	A	A	A	4.3	Bernadette Drysdale	315	13.0%	0.3%	2.9%	77.3%	98.1%	3.5%	3.12	2.82
06M346	Community Health Academy of the Heights	High School	62.8	B	44	D	B	A	A	8.8	Mark House	316	22.2%	8.5%	11.4%	87.1%	99.1%	26.6%	2.43	1.71
06M348	Washington Heights Expeditionary Learning School	High School	73.7	A	76	A	B	A	C	5.8	Brett Kimmel	357	19.3%	2.8%	6.4%	89.5%	100.0%	14.3%	2.78	2.27
06M462	The College Academy	High School	63.9	B	46	B	C	B	C	5.5	Peter Sloman	630	16.7%	8.4%	10.3%	91.1%	97.6%	43.5%	2.48	1.88
06M463	High School for Media and Communications	High School	58.2	B	30	C	B	D	C	5.7	Ronni Michelen	572	19.8%	5.8%	11.4%	86.7%	98.3%	28.3%	2.49	1.86
06M467	High School for Law and Public Service	High School	64.3	B	47	C	A	B	B	7.4	Nicholas Politis	694	20.3%	9.4%	12.2%	71.3%	97.4%	32.1%	2.56	1.84
06M468	High School for Health Careers and Sciences	High School	54.2	C	22	C	D	B	D	5.2	Harris Marmor	679	15.6%	4.9%	11.0%	93.2%	97.8%	31.4%	2.49	1.97
06M540	A. Philip Randolph Campus High School	High School	44.9	D	6	D	F	F	C	1.7	David Fanning	1285	6.5%	3.5%	3.3%	74.8%	95.1%	2.5%	3.03	2.80
06M552	Gregorio Luperon High School for Science and Mathematics	High School	78.0	A	85	B	A	A	B	7.8	Juan Villar	472	0.6%	0.0%	24.2%	91.7%	100.0%	91.7%	2.32	2.06
07X221	South Bronx Preparatory: A College Board School	High School	84.3	A	94	A	A	B	B	7.0	Ellen Reddon Flanagan	339	21.2%	6.5%	8.0%	83.0%	98.2%	5.6%	2.67	2.04
07X334	International Community High School	High School	64.3	B	48	B	F	A	C	6.9	Berena Cabarcas	393	3.1%	0.5%	41.7%	93.6%	91.9%	94.1%	2.10	1.61
07X427	Community School for Social Justice	High School	62.8	B	44	C	C	A	D	5.7	Sue-Ann Rosch	319	23.2%	10.3%	9.1%	80.3%	98.4%	13.2%	2.50	1.74
07X473	Mott Haven Village Preparatory High School	High School	59.7	B	35	C	C	A	D	4.6	Flavia Puello Perdomo	363	21.2%	6.3%	8.8%	84.0%	98.6%	9.9%	2.58	1.94
07X495	University Heights Secondary School	High School	70.2	A	66	A	B	C	B	3.6	Hazel Joseph Roseboro	465	7.1%	0.9%	4.1%	85.8%	96.1%	3.9%	2.99	2.79
07X500	Hostos-Lincoln Academy of Science	High School	66.2	B	53	C	A	C	A	6.0	Nicholas Paarlberg	317	12.9%	2.5%	3.5%	68.2%	95.6%	4.1%	2.92	2.58
07X520	Foreign Language Academy of Global Studies	High School	57.0	C	27	D	C	B	A	4.9	Leba Collins Augone	311	25.7%	19.6%	11.6%	88.4%	94.9%	21.9%	2.52	1.50
07X522	Bronx Design and Construction Academy	High School	.	.	.	.	.	.	.	.	Matthew Williams	138	29.7%	11.6%	19.6%	91.3%	97.1%	20.3%	2.59	1.56
07X527	Bronx Leadership Academy II High School	High School	57.2	C	28	C	C	C	C	5.7	Katherine Callaghan	502	22.9%	11.6%	11.6%	81.9%	97.2%	14.3%	2.52	1.71
07X547	New Explorers High School	High School	58.6	B	31	C	C	B	F	4.4	Jacob Hobson	383	26.9%	12.3%	16.2%	86.9%	98.4%	16.2%	2.48	1.54
07X548	Urban Assembly School for Careers in Sports	High School	59.6	B	36	C	A	C	D	3.6	Johanny Garcia	477	22.0%	7.5%	5.2%	76.1%	97.7%	5.5%	2.74	2.10
07X551	The Urban Assembly Bronx Academy of Letters	High School	66.5	B	55	C	A	B	A	4.5	Anna Hall	317	20.2%	14.2%	5.0%	85.0%	98.1%	9.5%	2.61	1.87
07X600	Alfred E. Smith Career and Technical Education High School	High School	61.6	B	41	B	C	F	C	6.3	Rene Cassanova	738	26.2%	15.3%	7.6%	75.6%	97.6%	10.3%	2.42	1.51
07X655	Samuel Gompers Career and Technical Education High School	High School	.	.	.	.	.	.	.	.	Joyce Mills Kittrell	663	32.0%	23.1%	15.2%	62.7%	97.3%	17.0%	2.39	1.14
07X670	Health Opportunities High School	High School	53.9	C	21	F	B	C	B	4.5	Julie Mchedlishvili	587	22.0%	10.9%	9.2%	86.5%	96.1%	10.6%	2.59	1.84
08X269	Bronx Studio School for Writers and Artists	High School	.	.	.	.	.	.	.	.	David Vazquez	236	18.2%	6.8%	11.4%	68.8%	96.2%	7.2%	2.72	2.11
08X282	Women's Academy of Excellence	High School	54.6	C	22	D	A	F	A	4.8	Arnette Crocker	379	18.2%	7.7%	9.5%	76.5%	93.7%	3.7%	2.65	2.04
08X293	Renaissance High School for Musical Theater & Technology	High School	67.1	B	57	B	B	B	C	3.7	Maria N Herrera	469	22.8%	7.2%	5.8%	52.9%	89.3%	4.5%	2.61	1.95
08X295	Gateway School for Environmental Research and Technology	High School	.	.	.	.	.	.	.	.	Clifford Siegel	478	25.5%	14.6%	17.2%	54.8%	92.5%	13.0%	2.39	1.41
08X305	Pablo Neruda Academy for Architecture and World Studies	High School	67.8	B	60	B	C	B	D	8.5	Sabrina Cook	359	30.1%	15.6%	17.5%	53.5%	96.1%	17.5%	2.41	1.32
08X312	Millennium Art Academy	High School	66.1	B	53	B	C	B	C	4.9	Maxine Nodel	496	24.0%	11.3%	9.5%	56.0%	97.0%	5.4%	2.59	1.79
08X332	Holcombe L. Rucker School of Community Research	High School	45.9	D	8	F	C	D	C	4.2	Sharif Rucker	333	21.3%	10.2%	17.7%	81.4%	96.1%	12.6%	2.46	1.66
08X367	"Archimedes Academy for Math, Science and Technology Applications"	High School	.	.	.	.	.	.	.	.	Miriam Lazar	209	21.1%	9.1%	10.5%	76.8%	93.8%	3.8%	2.62	1.92
08X376	"Antonia Pantoja Preparatory Academy, A College Board School"	High School	.	.	.	.	.	.	.	.	Nancy Jacqueline Diaz	146	28.1%	14.4%	9.6%	51.2%	95.9%	8.9%	2.76	1.82
08X405	Herbert H. Lehman High School	High School	40.5	D	4	F	F	F	B	3.0	R Lobianco	3593	23.8%	12.5%	8.1%	62.2%	83.5%	9.8%	2.64	1.83
08X432	BRONX BRIDGES HIGH SCHOOL	High School	.	.	.	.	.	.	.	.	Pablo Villavicencio	155	9.7%	4.5%	17.4%	87.1%	91.6%	81.9%	2.36	1.90
08X452	Bronx Guild	High School	71.9	A	72	B	B	B	B	8.7	Sam Decker	305	26.9%	10.2%	14.1%	57.7%	95.1%	7.5%	2.48	1.60
08X519	"Felisa Rincon de Gautier Institute for Law and Public Policy, The"	High School	51.8	C	16	D	C	C	F	4.8	Ms. Grismaldy Laboy-Wilson	363	22.3%	12.4%	10.5%	73.0%	98.1%	14.0%	2.48	1.68
08X530	Banana Kelly High School	High School	49.3	C	14	C	D	F	C	4.2	Antonio Arocho	451	27.7%	12.2%	16.2%	73.4%	98.0%	14.4%	2.41	1.45
08X540	School for Community Research and Learning	High School	.	.	.	.	.	.	.	.	Jacqueline Boswell	190	31.1%	17.9%	15.8%	56.0%	93.7%	10.5%	2.32	1.18
08X650	Jane Addams High School for Academic Careers	High School	.	.	.	.	.	.	.	.	"Dibartolomeo, Joel"	717	24.5%	12.8%	11.6%	87.6%	97.6%	11.9%	2.49	1.63
09X227	Bronx Collegiate Academy	High School	73.1	A	74	A	B	A	D	5.6	D White	355	22.8%	14.1%	16.6%	62.0%	98.0%	29.9%	2.39	1.49
09X231	Eagle Academy for Young Men	High School	65.4	B	51	C	A	A	A	6.3	Jonathan Foy	457	28.4%	9.8%	9.0%	60.7%	98.2%	4.4%	2.60	1.74
09X239	"Urban Assembly Academy for History and Citizenship for Young Men, The"	High School	.	.	.	.	.	.	.	.	Avis Terrell	141	33.3%	18.4%	20.6%	51.8%	97.2%	20.6%	2.30	1.06
09X241	"Urban Assembly School for Applied Math and Science, The"	High School	74.9	A	79	B	A	B	A	2.6	Kenneth Baum	348	20.1%	6.6%	2.9%	56.9%	93.7%	8.0%	2.85	2.28
09X250	Eximius College Preparatory Academy: A College Board School	High School	69.9	B	66	C	A	B	B	6.8	Jonathan Daly	356	20.8%	9.0%	7.6%	63.8%	98.9%	8.1%	2.65	1.98
09X252	Mott Hall Bronx High School	High School	67.0	B	58	C	A	B	C	4.0	Kathryn Malloy	354	16.9%	10.7%	5.9%	72.9%	98.0%	8.8%	2.74	2.12
09X260	Bronx Center for Science and Mathematics	High School	80.9	A	91	A	A	A	A	4.3	Edward Tom	444	18.0%	5.4%	3.4%	47.7%	93.0%	1.6%	3.15	2.64
09X263	Validus Preparatory Academy: An Expeditionary Learning School	High School	58.0	B	30	C	B	B	D	4.6	Javier Fortiche Ocampo	365	18.4%	8.2%	7.1%	78.9%	98.4%	12.1%	2.60	1.99
09X276	Leadership Institute	High School	46.0	D	8	D	C	D	C	2.8	Marta Colon	230	20.4%	14.8%	17.0%	82.6%	96.5%	17.8%	2.37	1.50
09X297	Morris Academy for Collaborative Studies	High School	69.4	B	64	B	A	C	D	6.9	Charles Osewalt	450	24.9%	10.9%	14.2%	64.9%	99.3%	20.7%	2.44	1.58
09X324	Bronx Early College Academy for Teaching & Learning	High School	.	.	.	.	.	.	.	.	Yvette Rivera	233	15.5%	0.0%	6.0%	80.1%	95.7%	9.0%	2.88	2.51
09X329	DreamYard Preparatory School	High School	58.4	B	31	C	C	B	C	4.2	Alicia Wargo	349	23.5%	13.5%	18.3%	60.5%	96.8%	24.9%	2.52	1.60
09X365	Academy for Language and Technology	High School	77.8	A	85	A	B	B	F	3.6	Arisleyda Urena	336	0.9%	0.3%	6.8%	89.6%	100.0%	87.8%	2.41	2.31
09X403	Bronx International High School	High School	74.2	A	77	A	B	B	D	6.6	Joaquin Vega	403	1.5%	0.7%	28.5%	48.4%	95.0%	91.8%	2.16	1.83
09X404	School for Excellence	High School	71.7	A	71	A	B	C	D	6.4	Carmen Bardeguez Brown	386	28.8%	16.1%	18.9%	64.5%	99.0%	21.2%	2.43	1.34
09X412	Bronx High School of Business	High School	55.1	C	24	C	F	C	C	3.9	Enrique Lizardi	401	26.4%	17.5%	17.7%	66.3%	98.8%	23.4%	2.43	1.37
09X413	Bronx High School for Medical Science	High School	60.7	B	40	C	A	B	B	1.6	William Quintana	287	5.2%	2.1%	2.4%	57.4%	93.4%	4.9%	2.91	2.74
09X414	Jonathan Levin High School for Media and Communications	High School	40.3	D	3	F	F	C	F	1.9	Nasib Hoxha	382	25.4%	15.7%	20.2%	61.0%	97.9%	39.5%	2.37	1.35
09X505	"Bronx School for Law, Government and Justice"	High School	62.9	B	44	C	B	B	A	3.6	Meisha Ross-Porter	486	19.5%	9.5%	4.5%	55.8%	96.9%	6.6%	2.85	2.23
